Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,B Cell Receptor Signaling Pathway (GO:0050853),0.8041713783491992,2.3936584614470937,1.000000e-03,1.000000e-03,1.000000e-03,37/45,17.19%,IGHM;IGHA2;IGHA1;PRKCB;IGLC3;IGHG3;CD79A;IGHG2;PTPRC;IGKC;ITK;NFAM1;IGHG4;BTK;IGLC7;CD38;IGHG1;MNDA;NFATC2;LCK;PIK3CD;IGLC1;CD79B;NCKAP1L;LAT2;IGHE;BMX;MS4A1;VAV3;SYK;SH2B2;CD19;BLK;CTLA4;RFTN1;MEF2C;PLCG2
prerank,Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),0.7441310893016362,2.3913139007881044,1.000000e-03,1.000000e-03,1.000000e-03,40/76,12.76%,PF4;AZU1;MMP8;FCGR3A;CD14;CCL3;PTPRC;THBS1;HAVCR2;NOD2;CD2;ORM1;IFNG;LCP1;TLR2;SPN;TYROBP;ORM2;TLR4;HLA-E;CD84;CCL19;CLEC7A;TNFRSF8;LILRA2;CYBA;CLU;TLR1;LY96;IL33;CCR2;PTPRJ;IL6;TLR9;LGALS9;TMEM106A;IFNGR1;SYK;IL12B;RASGRP1
prerank,Regulation Of Interleukin-6 Production (GO:0032675),0.711928620252626,2.378062122962876,1.000000e-03,1.000000e-03,1.000000e-03,68/105,18.27%,BPI;MMP8;NLRP12;LILRB2;TLR8;C5AR2;NOD2;ORM1;IFNG;LCP1;TLR2;PTPN22;TYROBP;TLR4;TLR7;SLAMF1;IL1B;CD74;CD84;CLEC7A;TNF;HLA-B;LEP;SCIMP;AIF1;SIGLEC16;LILRB4;IRAK3;NCKAP1L;LILRA2;POU2AF1;POU2F2;CYBA;CD200R1;TREM2;TLR1;IL17RA;IL16;NLRC3;FOXJ1;PTPN6;SIRPA;IL33;IL10;IL6R;IL6;TLR9;LGALS9;MYD88;EREG;TMEM106A;GHSR;ARRB1;TSLP;SYK;SYT11;TLR6;F2R;TNFSF4;XBP1;PYCARD;TNFAIP3;GAS6;NOS2;CD200;PLCG2;ELF4;CX3CL1
prerank,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),-0.7537343545874667,-2.359048099584073,1.000000e-03,1.000000e-03,1.000000e-03,15/28,11.02%,TRIP13;TTK;NUF2;CENPF;BUB1B;MAD2L1;BUB1;PLK1;ZWINT;NDC80;USP44;CDC20;SPC25;KNTC1;ZWILCH
prerank,Keratinocyte Differentiation (GO:0030216),-0.6908616986484593,-2.3539890456173382,1.000000e-03,1.000000e-03,1.000000e-03,19/42,8.24%,S100A7;SCEL;SPRR1B;IVL;KRT16;POU2F3;SPRR2B;SPRR2G;SPRR1A;CERS3;SPRR3;CSTA;EVPL;DSP;WNT16;SPRR2F;EXPH5;TGM1;AKR1C3
prerank,Cytokine-Mediated Signaling Pathway (GO:0019221),0.6619835135316472,2.3523611051997024,1.000000e-03,1.000000e-03,1.000000e-03,100/221,14.74%,PPBP;PF4V1;PF4;CXCL5;CCL13;CCL5;OSM;CTSG;IL18RAP;CCL23;CXCR2;CRLF2;CSF3R;TNFRSF1B;CXCL8;CCL8;CCL3;LILRB2;CCL18;CXCL3;CCL15;CXCL9;CCL4;IL2RG;CXCL13;LILRA4;CSF2RB;IL1RL1;CCR1;CCL7;CSF2RA;CCL14;CD300LF;CCL11;SPI1;CSF1R;HCK;FCER1G;CD4;IL2RB;CXCL12;IL12RB1;CCL26;OASL;STAT4;IL2RA;IL1B;CCL2;IL21R;ST18;CCL19;LILRA1;TNF;TMSB4X;LEP;JAK3;LILRB4;RHEX;CCL24;IRAK3;LILRA2;CXCL10;FLT3;IL17RA;NFKBIA;LILRB1;EGR1;IL7R;PTPN6;IL3RA;STAT5A;IL33;CCR2;PTPRJ;CXCL2;LIMS1;PTK2B;IL6R;LEPR;EBI3;EPOR;IL18R1;IL6;IL5RA;IRAK2;MYD88;EREG;CCL21;LYN;IRF5;SYK;IL12B;CXCL11;STAT5B;SOCS1;IL4R;TRAF1;ADIPOR1;ILK;JAK1
prerank,Chemokine-Mediated Signaling Pathway (GO:0070098),0.7952619201593057,2.3506674225570117,1.000000e-03,1.000000e-03,1.000000e-03,32/50,11.56%,PPBP;PF4V1;PF4;CXCL5;CCL13;CCL5;CCL23;CXCL8;CCL8;CCL3;CCL18;CXCL3;CCL15;CXCL9;CCL4;CXCL13;CCR1;CCL7;CCL14;CCL11;CXCL12;CCL26;CCL2;CCL19;CCL24;CXCL10;MPL;CCR2;CXCL2;PTK2B;CCL21;LYN
prerank,Cellular Defense Response (GO:0006968),0.8022092787257447,2.3451134135522786,1.000000e-03,1.000000e-03,1.000000e-03,30/45,10.20%,CXCR2;PRF1;GNLY;NCF1;NCF2;NCR1;LILRB2;KLRC3;C5AR1;CXCL9;CCR5;CD300C;KLRC2;ITK;CLEC5A;KIR3DL2;LSP1;CD5L;SPN;TYROBP;KIR2DL4;MNDA;TRAT1;FCMR;KLRG1;LY96;HLA-G;CCR2;PTK2B;TCIRG1
prerank,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),0.7053857370590041,2.3363208630819323,1.000000e-03,1.000000e-03,1.000000e-03,58/109,16.61%,DEFA3;DEFA1;PPBP;PF4V1;PF4;CXCL5;DEFA4;CTSG;NLRP3;FCGR2B;ANKRD1;TNFRSF1B;CXCL8;CD14;LILRB2;CXCL3;CXCL9;CCR5;CXCL13;NOD2;CD68;CD180;PDCD1LG2;TLR2;SERPINE1;CD86;TLR4;IL1B;CARD16;CCL2;PDE4B;GFI1;ZFP36;CXCL10;VIM;LY96;CASP1;LILRB1;SIRPA;IL10;CXCL2;GBP2;CARD17P;IL6;MYD88;TNIP3;SBNO2;CD80;CXCL11;NR1H3;TNFSF4;HMGB2;XBP1;PYCARD;CD274;CXCL1;MEF2C;TNFAIP3
prerank,Cellular Response To Chemokine (GO:1990869),0.7899285314308194,2.328148705558936,1.000000e-03,1.000000e-03,1.000000e-03,32/52,9.98%,PPBP;PF4V1;PF4;CXCL5;CCL13;CCL5;CCL23;CXCL8;CCL8;CCL3;CCL18;CXCL3;CCL15;CXCL9;CCL4;CXCL13;CCR1;CCL7;RIPOR2;CCL14;CCL11;DUSP1;CXCL12;CCL26;DOCK8;CCL2;CCL19;CCL24;CXCL10;CCR2;CXCL2;PTK2B
