GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1668,5436.690776141968,10.23306391552865,1.631307840056466,6.272920208103973,,
1667,6729.520653797347,9.860842421055237,2.0797308581014025,4.741403140047291,,
28453,70.76898992381498,9.51723384503166,1.65988548810233,5.733668926711488,9.82810852317344e-09,3.1880746031087444e-05
260436,546.1851188235631,9.435081264193736,1.398640964466765,6.74589226534694,,
5473,7629.811275539468,9.33875727565398,1.2851945319763203,7.2664153505953815,,
51327,404.4247863270632,9.289324718540572,1.7462142631745912,5.319693530422046,,
728358,3965.186871252227,9.017994585084445,2.081624512458948,4.332190811123671,,
6708,3258.841199173063,8.584031614579333,1.2328857996515232,6.962552100937184,,
139105,175.03495412763567,8.561511462053739,1.632528245447372,5.244326697519144,,
3047,3314.211390297667,8.551975846841188,1.3619186776220864,6.279358663156717,,
6521,4031.2376167319426,8.456487024097283,1.2190408134391437,6.937000739327128,,
5197,670.1246511219571,8.31691016676289,1.3083460087119543,6.356812426821827,,
5196,1104.0818043201261,8.282151016860908,1.4462142954881338,5.726779940358337,,
100287083,33.63599387076081,8.268246499780185,3.197960379109825,2.5854749651656754,,
3048,4775.975822266637,8.222525149961834,1.2924495337880948,6.361969991866598,,
7503,6914.912154096023,7.994219650987497,1.1673196061036697,6.848355505370934,,
9383,1800.5694541747887,7.703188467321895,1.1574492035941968,6.655314499678591,,
51297,3179.9953554556464,7.6785209955546945,2.1496906588031415,3.57191904058874,0.00035437497066065365,0.01874239145100082
105372593,376.0310032147375,7.640955988711157,2.643481287717932,2.8904899097309107,,
3045,20323.891887725826,7.610245638939775,1.3407502693302156,5.67610972231357,,
2993,284.62752474234327,7.560359276825238,1.3270337930885734,5.69718670029424,,
102724036,20.379033242571843,7.547106203558756,3.1984040557263134,2.359647521721552,,
55363,864.8299137052343,7.482320256304116,1.2441335337364394,6.014081329222648,,
3049,232.3145363081976,7.394340546840703,1.2418230912304953,5.954423459394537,2.609902367516097e-09,1.3839472376293906e-05
28886,16.120555529982898,7.369496205305217,2.650643715411144,2.7802666056015477,0.0054314286868600015,0.09379937580510755
3043,158047.5042418209,7.163003334907564,1.273961579269081,5.622621161791429,,
64407,1211.1884599829468,7.113371079844112,0.9859598482066094,7.214666086842001,,
4353,940.4462229995955,7.103000724954433,1.153539006368285,6.157573073594609,,
8328,365.75760615418227,6.871841025589961,1.516865273131152,4.530290954189314,,
6005,223.10775392315514,6.716059507612541,1.4256116181009353,4.71100222693123,,
81027,5416.305802742887,6.6194593014182095,0.9951479947042946,6.651733547817843,,
54959,58.69875257404709,6.454764055130334,1.581892801356484,4.080405479812115,,
2038,722.5663266651326,6.416194171992505,1.0393487495862395,6.173283197335607,,
3042,82.78479495666674,6.399844057231275,2.2175320762938187,2.886020962514054,,
28927,28.30180430427477,6.395457656795327,2.3045114120915646,2.7751902738424006,0.005516942028027719,0.09417445738971703
2815,79.07099398427613,6.393122887531505,1.4428751650346845,4.430821905079934,,
4619,1752.284219211539,6.34363269813198,1.0745261198719271,5.90365611483514,3.5553286688316054e-09,1.3839472376293906e-05
105371661,8.760877801421788,6.328627772012201,3.1999000539009064,1.9777579503763416,,
212,1000.5527167496265,6.314824229388895,1.0467741598198628,6.032652000576323,,
2204,326.66919224986464,6.30751655184256,0.9456908678085564,6.669744592605541,2.5624898014835922e-11,4.987373900627516e-07
60675,115.05064340053521,6.1159124806902385,1.1364939996625993,5.381385632045502,,
1991,129.7534080886152,6.082759210821873,1.2239870854885615,4.969626953534322,,
28905,7.642237703319507,6.0799587043496395,1.9239867760071754,3.160083416460532,,
5657,46.71071260110882,6.017666098432206,2.750140674659714,2.188130285072343,,
3039,113055.24352179904,6.003554475057715,1.2218684721212043,4.9134212167986835,,
132203,78.49368375314388,5.958028131472244,1.2175575275263948,4.8934263858371025,,
566,65.10745995793727,5.915878685314929,1.4160044575064663,4.177867275737664,,
759,1803.7643860658677,5.833413378489816,1.1249434322512923,5.1855170769037695,,
3040,121622.81461653691,5.785562288085075,1.272913105600733,4.545135298418239,5.489997778622196e-06,0.0020871235138416656
671,146.73995630857405,5.775119574174404,1.2903474668178125,4.4756313494509365,,
2994,123.67395406929472,5.738075336779017,1.2411642111980274,4.623139537064454,,
28936,105.93001665859686,5.713141350628236,1.259499849031847,4.53603972641983,5.732038757834795e-06,0.0020871235138416656
3044,28.619566951195694,5.688554670011746,1.8474301460369982,3.079171725228426,,
29895,69.98154057218785,5.6617469133215845,1.1037466221448025,5.129571225613057,2.9040287872364853e-07,0.0004037222306141694
3381,305.0868680549239,5.651775872674364,1.0486580797541978,5.389531613582878,,
1178,48.13537003557708,5.594716463716515,1.3028872566189138,4.294091016159914,1.7541050908173666e-05,0.0035936997244819372
932,18.8461517044983,5.582650255990873,2.4818136534055526,2.2494236214432712,,
3674,2379.462339004126,5.532615073689078,1.0857379731351902,5.09571849800282,,
