,log2FC
26228,2.42585790336848
85413,2.4257719033462135
3936,2.422399383605148
7852,2.419047850374538
7850,2.4168669479561347
5579,2.4123659643953657
6355,2.410056597194183
80183,2.408413427369002
375307,2.408148891521399
968,2.4073376635014156
4063,2.3965139215816214
28881,2.395295049687906
29992,2.3952866383144658
3055,2.394852970486058
28888,2.3936103982884935
9383,2.391517617683151
290,2.3911866269852418
255809,2.388996349361073
4332,2.3848033970401863
64333,2.383431968726173
51411,2.3819614893263594
340205,2.381927301817571
28669,2.3777674517151812
28690,2.3773839186174204
28929,2.374967767756215
3122,2.370551865341227
11006,2.369706687522781
3458,2.3633467121221807
10225,2.3616772006647473
100996567,2.35996828165413
28682,2.3566923543214213
8778,2.3566683441470904
27181,2.355690311935195
139105,2.351499456855211
1084,2.3504477656810367
117289,2.343945101948786
81027,2.3430481718044005
9358,2.34290633713389
28411,2.34158122784261
6984,2.33915743435076
83416,2.3326415733444934
107984634,2.330954037301783
3553,2.3304264898481843
8320,2.329983114587412
126014,2.3279994256343013
28755,2.3277637175045713
2212,2.326717656844565
6693,2.325229502048093
10578,2.3239393156088797
695,2.3225235343143584
8361,2.3223392666769564
100874264,2.3217384371268563
28567,2.3195711252146993
9046,2.310583930913026
1043,2.3058905891587465
131,2.300643028153048
9103,2.2993497687735385
64098,2.2934600838285863
2681,2.2928567518126703
240,2.2915322842599863
387357,2.2896506839236475
2124,2.287986830929876
3824,2.287325446380157
28923,2.2834100435323217
4354,2.2829992041658294
4689,2.282715388390672
962,2.281867686505657
28898,2.2818058526162783
9437,2.2800856906533618
28826,2.2788190135492403
28908,2.274759970306178
91937,2.2727042746542194
27180,2.2717947979549677
50852,2.26984197030423
4064,2.2691585967109917
3738,2.2688071398568637
3594,2.266603013365632
8972,2.265648883851318
28907,2.2642598836202894
56253,2.2638804298250768
4068,2.257544022890702
26191,2.257070406251443
5265,2.2544270195870375
972,2.250620981050364
28581,2.2494375038111327
84225,2.2477579094800104
28677,2.247267913145644
712,2.2449733200171256
10320,2.2446876832233107
4046,2.242669192176324
28657,2.2397897845445347
2213,2.2347282528609025
57580,2.234325916715017
8794,2.2285031430676607
339145,2.2277899567202866
2993,2.22593927751619
283897,2.221985566038173
28683,2.2199456325126112
23533,2.2170693394764385
28894,2.2169058969437923
54518,2.215953831628722
55423,2.215435203500732
1794,2.2126647126288095
84868,2.2105612479788244
105373024,2.2105273335154525
5816,2.2104898422336787
107985578,2.2089925687351304
28671,2.2082883455955264
8843,2.2020578059295035
730152,2.2020544212085627
63940,2.200666304224841
64926,2.200493779260035
158248,2.2000341938784596
6689,2.199255612771977
54440,2.1952556478769694
5133,2.1944109481218304
1311,2.1944069382069546
128346,2.191758340877774
28920,2.189861874797776
28717,2.188888336358146
10365,2.1858198399825923
3569,2.18520739438868
8876,2.184636764763913
54900,2.1837974158631406
101,2.1817492717869573
28904,2.181389126043734
3162,2.1792832586778292
6556,2.176894017128614
2920,2.1757350629413086
5778,2.170577291196463
102465836,2.1702995581573505
100526771,2.1694413624474285
2558,2.1689748467715724
28786,2.1679155386626094
100049587,2.1670158956343046
30009,2.1664449517603153
11024,2.165321707597877
7177,2.162319055027792
128611,2.1612510437565167
28416,2.160506281188474
51716,2.15820406639836
28614,2.156838266135132
64005,2.1567990744011816
28413,2.1513988215078452
