,log2FC,pval,neg_log10_pval
100287102,0.031902008614140165,0.933122919139347,0.030061143358363327
653635,0.06740116424879616,0.7690412452533676,0.11405036741701306
102466751,0.2551284107650371,0.39138468837360063,0.4073961685643134
107985730,0.1910868182604898,0.599176971378524,0.2224448864834751
100302278,0.38162152317201703,0.5159441815363888,0.2873972807731166
645520,0.025380179751697707,0.9770972491790798,0.010062209338121735
79501,0.08631078470759723,0.9162335501343528,0.03799380946577304
100996442,0.04580963535787941,0.864823317485674,0.06307260933889387
729737,0.5367527256040514,0.3345922405894573,0.4754841346970716
102725121,-0.02758730514540897,0.9420001338731164,0.025949035440900704
102723897,-0.01375235268692343,0.9490700809006419,0.02270171732178926
102465909,0.2764432207275487,0.404409958443669,0.39317815850311305
107985721,0.36045358242719827,0.42575241179410955,0.370842883073322
112268260,-1.0112838955485608,0.083055024155208,1.0806340906019543
729759,0.3808275695511769,0.61810473211907,0.20893793143040074
100132287,0.1657221805245186,0.6009100000412524,0.22119056854454708
105378947,-0.32715851744892643,0.535059274806889,0.2715981033264206
101928626,-0.09090909090909091,0.3678794411714422,0.43429448178519847
113219467,-0.047312020246426556,0.9144603643966134,0.03883511342807309
81399,0.1474987777150396,0.7575801414471481,0.12057141801947102
100133331,0.1326310355556224,0.715590429979398,0.1453354760860798
107984841,0.29839442318300335,0.5911382315852748,0.22831095187930756
107984847,0.33623594651606226,0.5566067384762692,0.2544515401709042
107984849,0.07095640847679796,0.8271579657575046,0.08241154347156844
100288069,-0.5783260214013763,0.24171406606363283,0.6166980757839249
105378580,-0.11145546219980584,0.6449399614110666,0.19048071264854763
400728,-0.5336153698573765,0.4481810320076047,0.34854652759862575
79854,-0.2778558844350423,0.31562761178019594,0.5008250106506477
643837,-0.030627674582779818,0.9065646810008985,0.042601204648360556
107984850,-0.36363636363636365,0.16715155184722616,0.7768895867711579
284593,0.8154773292339668,0.27280250876889656,0.5641516399433179
284600,-0.8989318462848344,0.2240606982676425,0.6496343147230101
100130417,-0.4783376521356826,0.49046503947327175,0.30939194376115364
107985728,-0.7478675045395233,0.40103841432730924,0.39681402544774425
148398,0.03273701654723027,0.9362864248384519,0.028591273333002407
26155,-0.5191805790882711,0.2835791050715051,0.54732577223024
339451,-0.3737600966999306,0.4268282883845564,0.3697468049794865
84069,-1.0700236532359693,0.2564583447417973,0.5909831649554822
84808,-2.025403116032365,0.20342490718547923,0.6915958732697406
57801,-0.34151984965348436,0.6395540925232139,0.19412271758989455
9636,-0.4916898564326013,0.4741159006413241,0.324115479212967
375790,-0.651371139653957,0.36441482980440026,0.43840395767434936
100288175,-1.0276725857946594,0.18565912161148956,0.7312837083734732
112267874,-1.4245642593376124,0.04250811180914443,1.3715281847447192
105378948,-1.0192406977559818,0.09173522376959044,1.0374638748545475
401934,-2.1087238608462164,0.05489381734316054,1.2604765663243906
54991,-0.40316440855493685,0.3042244222320356,0.5168059248711314
254099,-0.7051762443807437,0.2268615259027395,0.6442391509263934
406984,-1.5468585078694734,0.23480204726009934,0.6292981205704321
406983,-1.5051203858697613,0.2214067223605483,0.6548091969929851
554210,-1.6235846359773425,0.2585822259750444,0.5874013301238954
100506376,-1.2955744003970375,0.4837370217025358,0.31539067351856626
254173,-0.7447993211195945,0.6159688054582984,0.210441281207223
8784,0.021219936179491583,0.9624644820445795,0.016615288305937705
7293,0.9003215445513453,0.07814901914739995,1.1070764679085818
51150,0.17720076173207566,0.5433924346368066,0.26488641224667075
126792,-0.6378599749305192,0.23820618539581837,0.6230469653896663
388581,-0.522341169396352,0.45355800653800343,0.34336716207290635
118424,-0.32759656480817334,0.3317175057691201,0.47923160866819947
101928895,-0.2172250486562528,0.6545579946869614,0.1840518682879705
6339,0.0070880812742428745,0.9833985341792733,0.007270443345936619
116983,-0.5136163153143105,0.23743860790462037,0.6244486624661119
102465434,0.01582833905923353,0.963449221993893,0.016171169587196634
109623456,-1.3147070997974533,0.024341225796463827,1.6136575531945827
126789,-0.339860163247633,0.34688385616545614,0.4598159114521859
54973,-0.17688240462594607,0.6428370792500446,0.19189908073775214
102465435,-0.44652965366833164,0.39436095616102734,0.4041060889634579
80772,-0.38620467264976277,0.36042173244963216,0.4431890300075606
83756,-0.399526500392712,0.4810935543185791,0.317770461636608
1855,-0.6941874200614269,0.1697550041768275,0.770177414115045
102466740,-1.8116387917166508,0.040702536626373,1.3903785231596772
54587,0.5578150424652861,0.2277805736701759,0.6424833174130556
54998,-0.06178302313537287,0.8366941061477694,0.0774332902148214
81669,-0.3652009374862377,0.3586741041670012,0.44529997760315837
148413,-0.4009533133922085,0.27282968802764823,0.5641083734272552
55052,-0.24248615022649034,0.5283905874796657,0.2770449272396087
107984868,-0.614741262875782,0.4034176773414968,0.3942450752678021
441869,-0.9715212822431001,0.3737185449608113,0.4274553505909804
105378585,0.07010739177310188,0.8510460186292101,0.07004695561481729
643965,-0.4450492097192096,0.5309667124838993,0.27493270489645055
102724312,-0.9488429734115154,0.2436764445176452,0.6131864505732092
107985729,-1.248749746880739,0.031300546031653956,1.5044480848211388
64856,-0.8896977590668715,0.25517368718078015,0.5931641107421111
219293,-1.2198711724761235,0.045423956250216356,1.342715042149789
83858,-0.7402705832087619,0.10163836329846973,0.992942336663149
55210,-0.6666864079260009,0.17399715625127812,0.7594578493670555
339453,0.327469156844872,0.4759878724160899,0.3224041123350477
29101,-0.36527531889802134,0.34710738483363895,0.45953614633489637
643988,-0.23254150002524732,0.7190338814256811,0.14325064478686053
105378586,0.07779615318339506,0.8515059419814037,0.06981231704470316
142678,0.10327565380677761,0.694151038563692,0.1585460221657212
8510,0.7468925420868038,0.3109398063048384,0.5073236761705884
984,0.1716545159219578,0.4858309624184068,0.31351481060460207
728661,-0.11098663724634328,0.753255213784117,0.12305785354340108
8511,0.7472649738427837,0.324460288032461,0.48883845048251734
728642,0.06624820445042268,0.7368689551152081,0.13260974021046706
9906,-0.22428344104260312,0.5956366122971802,0.22501861502770343
112268218,-0.799293150826565,0.28967487731646335,0.538089168146284
65220,0.23385631151243658,0.4462146021531908,0.3504562216491821
2782,0.33812490325916933,0.1962561267949648,0.7071767761870961
105378949,0.6358300542052668,0.34791511134108627,0.4585267075762117
